Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
564.0,352.0,438.0,331.0,460.0,0.2,-0.97,-0.14,5.86,4.03,0.55,-14.0,-39.0,18.0,0
565.0,351.0,438.0,331.0,460.0,0.21,-0.97,-0.17,6.53,3.85,1.16,-18.0,-39.0,19.0,0
563.0,351.0,438.0,333.0,460.0,0.21,-0.98,-0.18,7.26,2.75,-4.33,-15.0,-40.0,17.0,0
564.0,351.0,437.0,331.0,462.0,0.17,-0.96,-0.21,6.71,3.78,1.16,-20.0,-38.0,21.0,0
565.0,351.0,436.0,332.0,459.0,0.18,-0.94,-0.21,3.36,1.89,2.44,-17.0,-40.0,15.0,0
561.0,350.0,436.0,329.0,461.0,0.19,-0.96,-0.22,1.95,0.55,-2.81,-18.0,-38.0,21.0,0
560.0,350.0,435.0,330.0,462.0,0.2,-0.98,-0.22,-0.31,1.77,-1.83,-16.0,-40.0,14.0,0
559.0,351.0,435.0,328.0,460.0,0.18,-0.98,-0.2,1.22,-0.24,-2.01,-15.0,-39.0,16.0,0
558.0,350.0,434.0,331.0,457.0,0.19,-0.96,-0.21,-2.08,2.2,0.67,-18.0,-40.0,17.0,0
559.0,349.0,435.0,331.0,461.0,0.18,-0.97,-0.21,-0.43,0.06,0.92,-15.0,-40.0,19.0,0
560.0,353.0,436.0,329.0,461.0,0.18,-0.97,-0.21,-2.01,1.65,-0.18,-16.0,-38.0,16.0,0
560.0,349.0,435.0,330.0,461.0,0.18,-0.98,-0.21,-0.73,2.99,0.73,-17.0,-40.0,21.0,0
559.0,350.0,435.0,332.0,460.0,0.19,-0.97,-0.21,0.67,-1.28,-0.31,-17.0,-40.0,19.0,0
560.0,350.0,435.0,328.0,461.0,0.18,-0.97,-0.2,2.01,-0.55,-0.12,-15.0,-41.0,18.0,0
561.0,351.0,436.0,331.0,462.0,0.18,-0.97,-0.21,0.55,0.0,0.55,-17.0,-40.0,16.0,0
560.0,352.0,436.0,330.0,461.0,0.18,-0.97,-0.21,1.4,-1.28,0.67,-15.0,-41.0,19.0,0
559.0,353.0,435.0,331.0,463.0,0.18,-0.98,-0.21,1.77,-1.28,0.12,-16.0,-44.0,19.0,0
559.0,352.0,437.0,332.0,462.0,0.19,-0.97,-0.21,2.01,1.71,1.28,-16.0,-39.0,16.0,0
560.0,351.0,435.0,331.0,461.0,0.19,-0.97,-0.22,-0.43,2.81,2.14,-15.0,-38.0,16.0,0
560.0,352.0,436.0,329.0,462.0,0.19,-0.97,-0.21,-0.55,0.61,0.73,-17.0,-41.0,17.0,0
560.0,352.0,437.0,331.0,463.0,0.18,-0.97,-0.2,0.61,-0.49,0.31,-18.0,-41.0,19.0,0
560.0,352.0,436.0,330.0,461.0,0.19,-0.97,-0.21,1.04,-1.22,-1.22,-14.0,-38.0,14.0,0
559.0,353.0,436.0,331.0,463.0,0.19,-0.97,-0.21,2.2,-1.59,-0.43,-16.0,-40.0,18.0,0
559.0,352.0,437.0,331.0,462.0,0.19,-0.96,-0.22,1.16,-1.4,-0.61,-17.0,-40.0,20.0,0
559.0,352.0,438.0,331.0,462.0,0.19,-0.97,-0.21,0.49,-0.55,-0.24,-19.0,-41.0,20.0,0
560.0,353.0,436.0,332.0,462.0,0.2,-0.97,-0.21,0.73,-0.12,-1.4,-18.0,-42.0,16.0,0
560.0,353.0,437.0,331.0,462.0,0.18,-0.96,-0.21,0.92,0.06,0.18,-17.0,-38.0,19.0,0
559.0,353.0,436.0,330.0,462.0,0.2,-0.97,-0.21,0.31,0.92,-0.49,-15.0,-42.0,10.0,0
560.0,351.0,437.0,331.0,462.0,0.19,-0.96,-0.21,-0.06,0.61,0.37,-18.0,-40.0,18.0,0
561.0,354.0,436.0,332.0,460.0,0.2,-0.97,-0.21,-0.67,2.69,0.12,-15.0,-41.0,14.0,0
560.0,353.0,436.0,332.0,463.0,0.19,-0.97,-0.21,0.06,-0.24,0.55,-14.0,-42.0,16.0,0
560.0,354.0,437.0,332.0,461.0,0.2,-0.96,-0.21,0.55,-2.32,-2.08,-15.0,-41.0,15.0,0
560.0,352.0,437.0,332.0,462.0,0.18,-0.97,-0.21,-1.1,-2.75,-0.61,-17.0,-40.0,20.0,0
558.0,355.0,438.0,332.0,463.0,0.19,-0.98,-0.19,0.43,-3.23,-0.73,-17.0,-41.0,16.0,0
558.0,353.0,437.0,331.0,464.0,0.21,-0.97,-0.21,2.56,1.71,-0.24,-17.0,-40.0,17.0,0
560.0,354.0,437.0,331.0,463.0,0.17,-0.98,-0.21,3.11,-3.48,-5.07,-16.0,-42.0,16.0,0
558.0,353.0,436.0,332.0,462.0,0.17,-0.96,-0.21,1.04,-5.8,-2.01,-17.0,-41.0,20.0,0
560.0,354.0,435.0,334.0,462.0,0.19,-0.95,-0.22,-3.85,-4.82,-10.01,-17.0,-38.0,18.0,0
556.0,354.0,438.0,331.0,462.0,0.15,-0.98,-0.21,0.06,-2.93,1.46,-18.0,-38.0,19.0,0
559.0,354.0,436.0,330.0,458.0,0.15,-0.98,-0.21,8.0,-10.44,0.31,-20.0,-40.0,16.0,0
558.0,355.0,439.0,331.0,463.0,0.16,-0.97,-0.22,4.76,-9.4,-2.81,-17.0,-36.0,17.0,0
559.0,354.0,438.0,331.0,463.0,0.19,-0.99,-0.21,3.23,-10.86,3.23,-16.0,-38.0,16.0,0
557.0,353.0,436.0,332.0,462.0,0.23,-0.96,-0.21,5.74,-9.34,7.08,-20.0,-38.0,16.0,0
556.0,355.0,437.0,331.0,461.0,0.2,-0.95,-0.22,5.25,-8.85,0.06,-16.0,-40.0,18.0,0
554.0,353.0,437.0,332.0,464.0,0.2,-0.96,-0.23,1.16,-7.69,0.31,-17.0,-38.0,17.0,0
553.0,354.0,437.0,330.0,461.0,0.19,-0.97,-0.23,-0.92,-12.15,-1.16,-17.0,-38.0,11.0,0
554.0,354.0,437.0,330.0,460.0,0.23,-0.97,-0.21,1.4,-20.87,-7.14,-18.0,-38.0,18.0,0
550.0,355.0,437.0,329.0,461.0,0.2,-0.98,-0.22,2.87,-13.43,1.22,-16.0,-34.0,21.0,0
552.0,354.0,438.0,331.0,461.0,0.2,-0.96,-0.2,6.1,-13.79,-0.12,-20.0,-33.0,19.0,0
551.0,354.0,437.0,331.0,462.0,0.22,-0.96,-0.21,7.02,-11.54,-7.93,-17.0,-34.0,16.0,0
552.0,355.0,436.0,331.0,460.0,0.2,-0.95,-0.24,7.93,-24.11,-12.94,-18.0,-33.0,21.0,0
549.0,355.0,438.0,331.0,462.0,0.16,-0.97,-0.23,1.53,-9.4,-3.91,-20.0,-34.0,16.0,0
552.0,354.0,437.0,331.0,460.0,0.21,-0.97,-0.19,-4.7,-6.59,-1.59,-19.0,-34.0,16.0,0
550.0,357.0,436.0,330.0,461.0,0.23,-0.97,-0.2,-1.22,-5.92,-3.11,-20.0,-31.0,19.0,0
552.0,357.0,438.0,330.0,460.0,0.19,-0.98,-0.22,-0.67,-15.26,-7.08,-19.0,-33.0,18.0,0
551.0,355.0,437.0,329.0,460.0,0.19,-0.98,-0.2,1.53,-13.79,-3.23,-21.0,-30.0,16.0,0
550.0,355.0,440.0,330.0,456.0,0.2,-0.97,-0.18,4.88,-21.55,-7.57,-20.0,-29.0,19.0,0
549.0,356.0,438.0,329.0,457.0,0.18,-0.94,-0.19,4.46,-33.94,-15.44,-21.0,-28.0,18.0,0
548.0,355.0,440.0,327.0,458.0,0.12,-0.98,-0.2,4.33,-18.8,-8.67,-19.0,-26.0,20.0,0
548.0,354.0,437.0,330.0,456.0,0.16,-0.98,-0.2,7.69,-24.17,-4.33,-21.0,-26.0,18.0,0
549.0,356.0,437.0,329.0,458.0,0.18,-0.98,-0.18,2.01,-23.19,-3.66,-22.0,-25.0,22.0,0
549.0,355.0,437.0,326.0,457.0,0.22,-0.97,-0.17,-0.67,-11.47,-1.83,-22.0,-25.0,19.0,0
546.0,355.0,437.0,328.0,456.0,0.19,-0.96,-0.2,3.11,-21.97,1.34,-18.0,-25.0,19.0,0
545.0,355.0,437.0,327.0,454.0,0.18,-0.98,-0.19,-0.61,-16.54,0.73,-23.0,-24.0,18.0,0
543.0,356.0,437.0,329.0,456.0,0.22,-0.98,-0.16,3.78,-12.82,-3.42,-21.0,-25.0,17.0,0
544.0,356.0,439.0,327.0,456.0,0.21,-0.97,-0.18,4.64,-14.95,-2.56,-20.0,-23.0,14.0,0
544.0,355.0,435.0,327.0,455.0,0.19,-0.98,-0.19,0.24,-9.16,-1.28,-21.0,-21.0,19.0,0
541.0,356.0,435.0,326.0,457.0,0.14,-0.97,-0.21,4.58,-22.09,-4.7,-21.0,-21.0,14.0,0
545.0,356.0,435.0,326.0,456.0,0.2,-0.97,-0.18,0.85,-8.06,0.18,-23.0,-22.0,19.0,0
543.0,356.0,438.0,327.0,456.0,0.2,-0.97,-0.18,2.93,-15.14,-3.23,-20.0,-20.0,14.0,0
544.0,355.0,436.0,327.0,456.0,0.2,-0.99,-0.16,4.03,-25.09,-6.23,-23.0,-19.0,16.0,0
545.0,355.0,438.0,327.0,457.0,0.18,-0.98,-0.18,4.88,-17.27,-2.5,-23.0,-19.0,20.0,0
543.0,356.0,437.0,328.0,457.0,0.2,-0.97,-0.17,1.59,-9.4,0.24,-22.0,-19.0,11.0,0
542.0,354.0,437.0,328.0,455.0,0.21,-0.97,-0.16,1.71,-16.91,-5.25,-23.0,-17.0,14.0,0
544.0,356.0,439.0,328.0,457.0,0.21,-0.98,-0.16,2.32,-29.72,-9.83,-22.0,-18.0,15.0,0
544.0,354.0,439.0,328.0,454.0,0.16,-1.0,-0.17,5.0,-18.07,-2.5,-21.0,-15.0,15.0,0
545.0,355.0,437.0,327.0,457.0,0.21,-0.96,-0.17,2.14,-26.12,-3.78,-23.0,-14.0,15.0,0
543.0,356.0,439.0,326.0,454.0,0.19,-0.98,-0.14,1.71,-23.19,-3.11,-22.0,-15.0,16.0,0
545.0,355.0,438.0,326.0,454.0,0.17,-0.98,-0.15,6.41,-21.61,-4.82,-23.0,-15.0,11.0,0
544.0,356.0,437.0,326.0,453.0,0.18,-0.99,-0.17,10.74,-29.17,-2.69,-22.0,-13.0,12.0,0
543.0,355.0,438.0,328.0,453.0,0.21,-0.96,-0.14,3.05,-26.79,-2.87,-20.0,-12.0,12.0,0
542.0,355.0,438.0,329.0,453.0,0.19,-0.98,-0.17,6.1,-25.27,-5.68,-22.0,-8.0,8.0,0
543.0,355.0,438.0,327.0,453.0,0.23,-0.98,-0.12,6.96,-25.88,-5.19,-23.0,-11.0,8.0,0
542.0,353.0,439.0,328.0,454.0,0.23,-0.97,-0.14,2.38,-19.35,-3.3,-22.0,-10.0,5.0,0
541.0,354.0,438.0,327.0,453.0,0.23,-0.97,-0.14,-3.48,-14.47,-3.11,-21.0,-10.0,9.0,0
543.0,354.0,438.0,327.0,454.0,0.2,-0.97,-0.13,6.71,-18.8,-7.2,-22.0,-7.0,7.0,0
540.0,353.0,438.0,326.0,453.0,0.23,-0.98,-0.14,4.58,-19.65,-5.92,-23.0,-8.0,5.0,0
538.0,355.0,438.0,328.0,454.0,0.22,-0.98,-0.14,-0.49,-19.53,-5.74,-22.0,-7.0,2.0,0
540.0,354.0,438.0,327.0,453.0,0.19,-1.01,-0.13,4.27,-29.6,-8.91,-23.0,-5.0,4.0,0
539.0,353.0,437.0,325.0,454.0,0.2,-1.01,-0.12,5.0,-29.48,-6.04,-23.0,-6.0,3.0,0
538.0,352.0,439.0,328.0,454.0,0.21,-0.96,-0.1,0.67,-20.75,-2.01,-22.0,-5.0,6.0,0
537.0,353.0,438.0,327.0,454.0,0.2,-0.98,-0.12,2.93,-18.86,-1.16,-24.0,-7.0,4.0,0
537.0,354.0,437.0,327.0,453.0,0.22,-0.98,-0.12,-1.59,-19.78,0.37,-20.0,-1.0,-1.0,0
537.0,354.0,437.0,327.0,453.0,0.17,-0.94,-0.15,21.55,-26.0,-9.89,-22.0,-2.0,3.0,0
538.0,352.0,439.0,328.0,455.0,0.17,-1.02,-0.13,14.04,-20.2,-8.54,-22.0,-5.0,0.0,0
539.0,355.0,438.0,329.0,454.0,0.14,-1.01,-0.12,2.87,-10.31,-5.8,-21.0,-3.0,0.0,0
539.0,354.0,438.0,327.0,454.0,0.14,-1.0,-0.14,1.28,-8.3,-3.23,-22.0,-2.0,-3.0,0
539.0,351.0,437.0,327.0,456.0,0.18,-0.99,-0.19,5.55,-17.15,1.77,-23.0,-4.0,-7.0,0
538.0,352.0,437.0,327.0,455.0,0.16,-0.99,-0.15,-0.18,-14.04,2.75,-21.0,-2.0,0.0,0
537.0,352.0,439.0,328.0,457.0,0.18,-0.99,-0.15,1.65,-9.34,-1.89,-20.0,-2.0,-11.0,0
535.0,354.0,437.0,327.0,454.0,0.2,-0.98,-0.09,-6.96,-6.65,8.54,-23.0,-1.0,-3.0,0
536.0,355.0,438.0,328.0,455.0,0.25,-0.96,-0.15,3.91,-16.91,-5.37,-22.0,-1.0,-4.0,0
535.0,353.0,437.0,327.0,457.0,0.14,-1.01,-0.15,8.0,-25.02,-10.13,-23.0,-2.0,-3.0,0
535.0,353.0,437.0,328.0,456.0,0.15,-1.0,-0.1,5.31,-22.4,-5.25,-22.0,0.0,-5.0,0
533.0,354.0,438.0,327.0,455.0,0.2,-0.98,-0.15,-1.22,-16.11,-0.49,-19.0,-3.0,-11.0,0
534.0,355.0,438.0,327.0,455.0,0.17,-0.99,-0.13,0.12,-13.18,-2.01,-20.0,-1.0,-10.0,0
535.0,355.0,439.0,328.0,458.0,0.16,-0.98,-0.17,11.66,-25.09,-2.62,-20.0,-1.0,-12.0,0
534.0,353.0,439.0,328.0,456.0,0.17,-0.96,-0.15,2.01,-29.11,-2.32,-21.0,-2.0,-11.0,0
532.0,355.0,436.0,328.0,457.0,0.21,-0.99,-0.09,5.0,-20.81,-0.98,-20.0,-4.0,-11.0,0
534.0,353.0,440.0,329.0,456.0,0.18,-0.97,-0.12,12.57,-15.32,-0.37,-19.0,-3.0,-15.0,0
534.0,354.0,438.0,329.0,457.0,0.19,-0.97,-0.16,10.86,-13.12,1.28,-20.0,-5.0,-17.0,0
534.0,355.0,438.0,328.0,459.0,0.24,-0.98,-0.2,11.05,-21.3,1.16,-20.0,-4.0,-21.0,0
535.0,354.0,439.0,326.0,457.0,0.22,-0.97,-0.24,10.44,-22.58,0.06,-22.0,-4.0,-22.0,0
535.0,354.0,439.0,326.0,456.0,0.21,-0.95,-0.17,2.38,-28.38,-7.93,-21.0,-4.0,-16.0,0
535.0,355.0,437.0,328.0,457.0,0.22,-0.92,-0.13,-5.98,-13.37,0.67,-18.0,-5.0,-22.0,0
535.0,355.0,438.0,329.0,455.0,0.27,-0.96,-0.15,5.43,-16.66,-0.67,-20.0,-6.0,-21.0,0
536.0,355.0,438.0,329.0,453.0,0.22,-1.02,-0.2,10.93,-39.12,-9.34,-15.0,-8.0,-23.0,0
534.0,354.0,438.0,328.0,455.0,0.28,-0.97,-0.16,3.05,-24.66,5.43,-18.0,-9.0,-26.0,0
537.0,355.0,437.0,327.0,453.0,0.27,-0.93,-0.13,3.05,-23.5,-0.92,-16.0,-11.0,-28.0,0
532.0,355.0,436.0,329.0,452.0,0.3,-0.97,-0.15,2.08,-21.85,-6.04,-17.0,-10.0,-25.0,0
537.0,354.0,439.0,328.0,453.0,0.22,-0.96,-0.15,12.57,-37.05,-10.86,-18.0,-11.0,-28.0,0
536.0,357.0,438.0,328.0,453.0,0.24,-0.97,-0.13,10.62,-26.49,-8.79,-15.0,-8.0,-29.0,0
536.0,355.0,440.0,328.0,455.0,0.21,-0.99,-0.12,11.47,-20.32,-10.13,-15.0,-12.0,-30.0,0
536.0,355.0,440.0,328.0,453.0,0.22,-0.99,-0.14,10.01,-15.26,-11.6,-14.0,-14.0,-33.0,0
538.0,355.0,439.0,329.0,454.0,0.2,-0.98,-0.18,13.98,-18.62,-7.63,-13.0,-13.0,-30.0,0
539.0,353.0,439.0,327.0,455.0,0.19,-0.98,-0.2,11.11,-20.57,-7.32,-13.0,-11.0,-34.0,0
536.0,355.0,439.0,327.0,453.0,0.23,-0.97,-0.18,-2.14,-21.91,-2.5,-11.0,-15.0,-31.0,0
536.0,356.0,438.0,328.0,453.0,0.21,-0.96,-0.16,-3.05,-15.62,-0.73,-13.0,-15.0,-32.0,0
537.0,356.0,439.0,329.0,454.0,0.19,-0.99,-0.16,2.14,-11.23,-3.78,-12.0,-15.0,-36.0,0
537.0,354.0,439.0,329.0,456.0,0.26,-0.99,-0.11,2.62,0.06,-1.1,-11.0,-17.0,-36.0,0
537.0,352.0,439.0,330.0,455.0,0.24,-0.98,-0.2,4.21,-12.02,-4.52,-11.0,-15.0,-38.0,0
539.0,356.0,439.0,330.0,457.0,0.21,-0.96,-0.18,5.19,-19.29,-3.17,-13.0,-17.0,-37.0,0
536.0,355.0,439.0,329.0,457.0,0.21,-0.97,-0.18,2.69,-20.81,-3.3,-13.0,-17.0,-39.0,0
537.0,355.0,438.0,329.0,458.0,0.18,-0.97,-0.16,5.49,-22.58,-6.23,-10.0,-20.0,-32.0,0
539.0,355.0,438.0,327.0,458.0,0.19,-0.99,-0.16,3.48,-18.37,-3.66,-10.0,-21.0,-40.0,0
537.0,356.0,438.0,328.0,457.0,0.22,-0.99,-0.12,0.0,-13.85,-1.1,-8.0,-23.0,-35.0,0
536.0,355.0,439.0,327.0,456.0,0.19,-0.99,-0.14,6.35,-13.31,-1.1,-9.0,-23.0,-37.0,0
534.0,355.0,437.0,330.0,456.0,0.26,-0.95,-0.15,-4.58,-10.07,-0.92,-10.0,-25.0,-39.0,0
537.0,357.0,438.0,329.0,457.0,0.21,-0.98,-0.18,4.27,-21.73,-4.27,-10.0,-24.0,-37.0,0
537.0,354.0,439.0,329.0,456.0,0.2,-0.99,-0.14,5.55,-24.96,-0.31,-9.0,-27.0,-40.0,0
538.0,356.0,439.0,331.0,456.0,0.21,-0.97,-0.13,5.13,-23.86,-1.1,-8.0,-29.0,-41.0,0
538.0,356.0,440.0,328.0,455.0,0.21,-0.96,-0.14,9.16,-23.62,-3.23,-8.0,-30.0,-38.0,0
537.0,355.0,440.0,329.0,457.0,0.2,-0.97,-0.15,8.36,-22.34,-4.64,-6.0,-30.0,-43.0,0
537.0,354.0,438.0,329.0,458.0,0.21,-0.99,-0.11,4.33,-18.13,-5.31,-7.0,-34.0,-37.0,0
535.0,355.0,439.0,330.0,456.0,0.24,-0.98,-0.13,2.38,-16.24,-1.71,-7.0,-33.0,-39.0,0
537.0,355.0,439.0,329.0,458.0,0.2,-0.94,-0.14,1.16,-16.97,-6.84,-6.0,-34.0,-41.0,0
538.0,355.0,440.0,329.0,458.0,0.24,-1.02,-0.09,5.25,-12.7,-2.75,-8.0,-34.0,-42.0,0
537.0,355.0,439.0,331.0,458.0,0.2,-1.02,-0.07,2.99,-3.48,0.24,-6.0,-36.0,-35.0,0
538.0,357.0,440.0,330.0,458.0,0.21,-0.99,-0.09,-2.62,7.87,3.23,-7.0,-34.0,-36.0,0
537.0,357.0,440.0,330.0,458.0,0.23,-0.97,-0.13,0.61,11.66,5.25,-8.0,-34.0,-41.0,0
536.0,356.0,440.0,329.0,458.0,0.23,-0.95,-0.12,-1.53,13.06,5.37,-9.0,-34.0,-40.0,0
538.0,356.0,441.0,330.0,458.0,0.22,-0.95,-0.12,0.24,16.05,1.71,-4.0,-33.0,-40.0,0
539.0,355.0,438.0,330.0,458.0,0.26,-1.02,-0.16,-2.32,13.61,-1.83,-7.0,-30.0,-37.0,0
537.0,354.0,440.0,328.0,459.0,0.25,-0.98,-0.12,-0.79,17.21,5.62,-5.0,-28.0,-37.0,0
538.0,357.0,440.0,328.0,459.0,0.24,-0.98,-0.13,2.32,19.17,4.09,-7.0,-28.0,-39.0,0
538.0,357.0,440.0,329.0,458.0,0.22,-0.98,-0.17,-1.59,19.41,4.52,-9.0,-28.0,-42.0,0
536.0,357.0,440.0,329.0,458.0,0.26,-0.94,-0.14,-7.93,23.01,5.19,-9.0,-24.0,-39.0,0
539.0,355.0,439.0,329.0,458.0,0.25,-0.98,-0.16,-0.24,23.8,-1.4,-9.0,-25.0,-38.0,0
538.0,356.0,441.0,329.0,459.0,0.21,-0.98,-0.15,-2.69,28.75,4.33,-10.0,-25.0,-39.0,0
535.0,356.0,439.0,330.0,457.0,0.27,-0.97,-0.19,-2.56,31.74,5.25,-10.0,-20.0,-35.0,0
539.0,356.0,441.0,329.0,459.0,0.2,-0.98,-0.17,-5.19,28.2,1.95,-11.0,-20.0,-38.0,0
536.0,355.0,440.0,328.0,457.0,0.15,-0.98,-0.15,-3.3,25.15,-1.16,-10.0,-19.0,-40.0,0
537.0,356.0,440.0,329.0,458.0,0.23,-0.98,-0.17,0.24,21.42,7.14,-10.0,-16.0,-37.0,0
538.0,357.0,442.0,331.0,459.0,0.23,-0.96,-0.17,-9.28,32.84,8.06,-11.0,-17.0,-40.0,0
537.0,357.0,440.0,329.0,460.0,0.24,-0.93,-0.21,-4.03,33.2,3.6,-15.0,-15.0,-34.0,0
539.0,355.0,440.0,331.0,460.0,0.2,-0.99,-0.2,-7.93,28.32,-4.27,-12.0,-14.0,-33.0,0
539.0,357.0,441.0,330.0,458.0,0.16,-1.0,-0.15,-8.85,25.94,2.26,-14.0,-12.0,-34.0,0
540.0,356.0,440.0,331.0,459.0,0.23,-0.97,-0.19,-3.85,29.72,10.07,-15.0,-10.0,-31.0,0
540.0,358.0,441.0,330.0,460.0,0.2,-0.94,-0.18,-11.84,29.17,5.62,-17.0,-9.0,-29.0,0
541.0,355.0,440.0,330.0,460.0,0.21,-0.97,-0.17,-6.84,30.03,-1.95,-15.0,-7.0,-29.0,0
540.0,357.0,440.0,330.0,459.0,0.21,-0.97,-0.2,-10.74,39.12,9.89,-16.0,-6.0,-26.0,0
540.0,357.0,440.0,331.0,460.0,0.2,-0.99,-0.22,-5.07,22.52,-2.38,-17.0,-6.0,-28.0,0
